Location,City,Zone
Palam Vihar,Delhi,Central
Shastri Nagar,Delhi,Central
Khandsa,Delhi,Central
Central Secretariat,Delhi,Central
Ghitorni Village,Delhi,Central
AIIMS,Delhi,Central
Vaishali,Delhi,East
Mayur Vihar,Delhi,East
Noida Sector 62,Noida,Noida
Rohini,Delhi,North
Udyog Bhawan,Delhi,Central
Vidhan Sabha,Delhi,Central
Patel Chowk,Delhi,Central
Malviya Nagar,Delhi,South
Madipur,Delhi,West
Jama Masjid,Delhi,Central
IGI Airport,Delhi,Central
Vinobapuri,Delhi,Central
Kashmere Gate,Delhi,Central
Pitampura,Delhi,North
Punjabi Bagh,Delhi,Central
Greater Noida,Noida,Noida
Tis Hazari,Delhi,Central
Noida Sector 18,Noida,Noida
Kanhaiya Nagar,Delhi,Central
Okhla,Delhi,South
Cyber Hub,Gurgaon,Gurgaon
Sadar Bazar Gurgaon,Gurgaon,Gurgaon
Shastri Park,Delhi,Central
Faridabad Sector 15,Faridabad,Faridabad
Qutub Minar,Delhi,South
Mundka,Delhi,West
DLF City Court,Gurgaon,Gurgaon
New Colony,Delhi,Central
Nirman Vihar,Delhi,Central
New Delhi Railway Station,Delhi,Central
Civil Lines Gurgaon,Gurgaon,Gurgaon
Seelampur,Delhi,East
Noida Extension,Noida,Noida
Adarsh Nagar,Delhi,Central
Panipat,Panipat,Others
Karol Bagh,Delhi,Central
Sultanpur,Delhi,South
Moti Nagar,Delhi,Central
Dilshad Garden,Delhi,Central
Aya Nagar,Delhi,South
Rajiv Chowk,Delhi,Central
MG Road,Delhi,Central
Jasola,Delhi,South
Ardee City,Delhi,Central
Meerut,Meerut,Others
Anand Vihar ISBT,Delhi,East
Lajpat Nagar,Delhi,Central
Tughlakabad,Delhi,South
Karkarduma,Delhi,East
Dwarka Mor,Delhi,West
Anand Vihar,Delhi,East
Uttam Nagar,Delhi,West
Model Town,Delhi,North
Mandi House,Delhi,Central
Ghitorni,Delhi,Central
Rajiv Nagar,Delhi,Central
Sohna Road,Gurgaon,Gurgaon
Bahadurgarh,Haryana NCR,Others
Moolchand,Delhi,Central
INA Market,Delhi,Central
Sushant Lok,Gurgaon,Gurgaon
IIT Delhi,Delhi,South
Satguru Ram Singh Marg,Delhi,Central
Munirka,Delhi,South
IGNOU Road,Delhi,South
Akshardham,Delhi,East
Chhatarpur,Delhi,South
IMT Manesar,Gurgaon,Gurgaon
Azadpur,Delhi,North
Jhilmil,Delhi,East
Sikanderpur,Gurgaon,Gurgaon
Rohini West,Delhi,North
Kashmere Gate ISBT,Delhi,Central
Kherki Daula Toll,Gurgaon,Gurgaon
IFFCO Chowk,Gurgaon,Gurgaon
Hauz Rani,Delhi,South
Sarai Kale Khan,Delhi,South
Vishwavidyalaya,Delhi,Central
Maidan Garhi,Delhi,South
Yamuna Bank,Delhi,East
Khan Market,Delhi,Central
Pragati Maidan,Delhi,Central
Mansarovar Park,Delhi,East
Rithala,Delhi,Central
Saidulajab,Delhi,Central
Nawada,Delhi,Central
Shahdara,Delhi,East
Tilak Nagar,Delhi,West
DLF Phase 3,Gurgaon,Gurgaon
Laxmi Nagar,Delhi,East
Huda City Centre,Delhi,Central
Mehrauli,Delhi,South
Botanical Garden,Delhi,Central
Ramesh Nagar,Delhi,West
Dwarka Sector 21,Delhi,West
Noida Film City,Noida,Noida
India Gate,Delhi,Central
Barakhamba Road,Delhi,Central
Gurgaon Sector 56,Gurgaon,Gurgaon
Ashram,Delhi,South
Gurgaon Sector 29,Gurgaon,Gurgaon
Jor Bagh,Delhi,Central
Saket,Delhi,South
Basai Dhankot,Gurgaon,Gurgaon
Udyog Vihar Phase 4,Delhi,Central
Raj Nagar Extension,Ghaziabad,Ghaziabad
Lok Kalyan Marg,Delhi,Central
Greater Kailash,Delhi,South
Sarojini Nagar,Delhi,South
GTB Nagar,Delhi,Central
Vatika Chowk,Delhi,Central
Golf Course Road,Gurgaon,Gurgaon
Ghaziabad,Ghaziabad,Ghaziabad
Narsinghpur,Gurgaon,Gurgaon
Panchsheel Park,Delhi,Central
Badarpur,Delhi,South
Pataudi Chowk,Delhi,Central
Gwal Pahari,Gurgaon,Gurgaon
Tagore Garden,Delhi,West
Samaypur Badli,Delhi,North
Hero Honda Chowk,Gurgaon,Gurgaon
Delhi Gate,Delhi,Central
Chanakyapuri,Delhi,Central
RK Puram,Delhi,Central
Shivaji Park,Delhi,West
Keshav Puram,Delhi,North
Saket A Block,Delhi,South
ITO,Delhi,Central
Indraprastha,Delhi,Central
Janakpuri,Delhi,West
Ashok Park Main,Delhi,West
Connaught Place,Delhi,Central
Jahangirpuri,Delhi,North
Govindpuri,Delhi,Central
